"","Dim.1","Dim.2","Dim.3","Dim.4"
"2746",-4.43151269398422,0.570927086335113,0.410265690821618,0.889192556886349
"2747",-4.35614423885711,0.568209776544968,0.399948081827688,0.885143036728024
"2748",-4.11520140552384,0.559522901926437,0.366964070943696,0.872197264402697
"2749",-4.4330798230814,0.97258092428038,0.506704680753523,0.450666001550978
"2750",-4.35771136795429,0.969863614490236,0.496387071759593,0.446616481392652
"2751",-4.11676853462102,0.961176739871705,0.463403060875601,0.433670709067326
"2752",-4.48916235085597,0.408950656278354,0.399732370434214,0.381364626208013
"2753",-4.41379389572886,0.40623334648821,0.389414761440284,0.377315106049687
"2754",-4.17285106239559,0.397546471869679,0.356430750556291,0.364369333724361
"2755",-4.46824652628084,0.477366556038706,0.405852495145008,0.555516348848772
"2756",-4.39287807115372,0.474649246248562,0.395534886151078,0.551466828690446
"2757",-4.15193523782046,0.46596237163003,0.362550875267086,0.53852105636512
"2758",-4.74668107956024,-1.38267462788935,0.0982563459792248,-0.769903643314159
"2759",-4.67131262443313,-1.38539193767949,0.0879387369852946,-0.773953163472485
"2760",-4.43036979109986,-1.39407881229802,0.0549547261013025,-0.786898935797811
"2761",-4.51888253811191,-1.39286270241225,0.336755881141582,0.832436755197793
"2762",-4.46025026097894,-1.39497661147942,0.328729381077841,0.829286463901811
"2763",-4.19692467241975,-1.40447046668159,0.292681269752379,0.815138074137486
"2764",-4.45554908744252,1.0457365009957,0.886829537289664,-0.974234850833924
"2765",-4.39691681030954,1.04362259192853,0.878803037225923,-0.977385142129905
"2766",-4.13359122175035,1.03412873672637,0.84275492590046,-0.991533531894231
"2767",-4.67768723640779,-0.866170910735125,0.539486489641363,-1.58405225683955
"2768",-4.61905495927481,-0.868284819802296,0.531459989577621,-1.58720254813553
"2769",-4.35572937071562,-0.877778675004457,0.495411878252159,-1.60135093789985
"2770",-4.33889902298062,0.528618977789434,0.706890681262859,0.937020565910488
"2771",-4.28026674584764,0.526505068722263,0.698864181199117,0.933870274614506
"2772",-4.01694115728845,0.517011213520101,0.662816069873655,0.919721884850181
"2773",-4.35466382328865,0.873355432752975,0.796679726301556,0.3912379548649
"2774",-4.29603154615568,0.871241523685804,0.788653226237814,0.388087663568918
"2775",-4.03270595759649,0.861747668483642,0.752605114912352,0.373939273804593
"2776",-4.39914599070944,0.356636754919939,0.695237686674506,0.4091459764307
"2777",-4.34051371357645,0.354522845852767,0.687211186610764,0.405995685134718
"2778",-4.07718812501727,0.345028990650606,0.651163075285302,0.391847295370393
"2779",-4.37535219235982,0.44593649325898,0.704932142994656,0.595263426141868
"2780",-4.31671991522684,0.443822584191808,0.696905642930915,0.592113134845886
"2781",-4.05339432666765,0.434328728989647,0.660857531605453,0.577964745081561
"2782",-4.6552207997459,-1.42648845302564,0.395083868636999,-0.734050378206089
"2783",-4.59658852261292,-1.42860236209282,0.387057368573257,-0.737200669502071
"2784",-4.33326293405373,-1.43809621729498,0.351009257247795,-0.751349059266396
"2785",-4.36835776198398,-1.45056529966788,0.607873408924956,0.850119876126462
"2786",-4.34074733878788,-1.45156075689378,0.604093663801961,0.848636377955722
"2787",-4.07431721162224,-1.46116654212204,0.567620554837979,0.834321182441592
"2788",-4.3067650669259,0.980682756170135,1.1570429716097,-0.969312519826571
"2789",-4.2791546437298,0.97968729894424,1.15326322648671,-0.970796017997311
